start_time,open,high,low,close,volume
1640997000000,46373.5,46736.0,46373.5,46657.0,1024.785
1640998800000,46657.0,46929.5,46580.0,46800.5,863.56
1641000600000,46800.5,46856.0,46726.0,46779.0,475.929
1641002400000,46779.0,46908.0,46770.5,46823.0,376.97
1641004200000,46823.0,46840.0,46726.0,46790.5,403.04
1641006000000,46790.5,46870.0,46767.0,46809.5,292.808
1641007800000,46809.5,46871.0,46794.0,46811.5,259.121
1641009600000,46811.5,46843.0,46500.0,46684.0,809.25
1641011400000,46684.0,46817.0,46635.0,46703.0,438.689
1641013200000,46703.0,47485.5,46666.0,47392.0,1968.926
1641015000000,47392.0,47552.0,47151.0,47183.5,1340.72
1641016800000,47183.5,47335.5,47084.0,47121.5,776.052
1641018600000,47121.5,47230.0,46932.5,46955.5,775.537
1641020400000,46955.5,47056.5,46909.0,46970.5,576.852
1641022200000,46970.5,47324.5,46970.5,47209.5,617.603
1641024000000,47209.5,47351.5,47091.5,47310.5,708.843
1641025800000,47310.5,47311.0,47083.0,47110.0,373.901
1641027600000,47110.0,47193.5,47058.0,47085.5,529.215
1641029400000,47085.5,47126.0,46930.5,47125.5,633.056
1641031200000,47125.5,47300.0,46810.0,46876.0,1344.088
1641033000000,46876.0,47078.0,46718.5,46877.0,1245.813
1641034800000,46877.0,46992.0,46875.0,46947.5,503.496
1641036600000,46947.5,46978.0,46768.0,46768.5,678.71
1641038400000,46768.5,46998.0,46768.0,46930.0,607.187
1641040200000,46930.0,47130.0,46929.5,47092.5,703.574
1641042000000,47092.5,47200.0,46986.0,47028.0,817.352
1641043800000,47028.0,47065.0,46904.5,47015.5,381.084
1641045600000,47015.5,47083.0,46965.5,47031.0,377.025
1641047400000,47031.0,47031.0,46856.0,46917.5,768.955
1641049200000,46917.5,47015.0,46884.0,47015.0,313.894
1641051000000,47015.0,47480.0,46994.5,47176.5,2169.606
1641052800000,47176.5,47499.5,47176.0,47457.5,1212.234
1641054600000,47457.5,47458.0,47223.0,47234.0,665.258
1641056400000,47234.0,47329.0,47224.5,47310.0,355.334
1641058200000,47310.0,47915.5,47309.5,47720.0,2141.129
1641060000000,47720.0,47796.0,47600.0,47604.5,627.392
1641061800000,47604.5,47628.0,47385.0,47551.5,998.129
1641063600000,47551.5,47596.0,47301.5,47352.0,642.584
1641065400000,47352.0,47378.5,47296.0,47334.0,349.521
1641067200000,47334.0,47421.5,47262.0,47408.5,390.409
1641069000000,47408.5,47554.5,47370.0,47412.0,450.902
1641070800000,47412.0,47532.0,47366.5,47366.5,297.768
1641072600000,47366.5,47477.5,47240.5,47300.0,612.108
1641074400000,47300.0,47402.0,47188.5,47390.0,440.0
1641076200000,47390.0,47469.0,47383.0,47427.5,209.161
1641078000000,47427.5,47469.0,47280.0,47423.0,306.832
1641079800000,47423.0,47845.0,47380.0,47719.5,895.817
1641081600000,47719.5,47719.5,47393.0,47533.0,757.023
1641083400000,47533.0,47676.0,47506.0,47617.0,543.808
1641085200000,47617.0,47617.5,47411.5,47434.5,553.838
1641087000000,47434.5,47465.0,47327.0,47369.5,337.056
1641088800000,47369.5,47416.0,47301.5,47309.0,323.108
1641090600000,47309.0,47413.0,47280.0,47381.0,325.37
1641092400000,47381.0,47382.5,47294.5,47379.5,277.017
1641094200000,47379.5,47450.5,47300.0,47331.0,396.918
1641096000000,47331.0,47393.0,47310.0,47317.5,216.374
1641097800000,47317.5,47386.0,46791.5,46911.5,2430.065
1641099600000,46911.5,47000.0,46860.0,46942.0,809.434
1641101400000,46942.0,47080.0,46927.0,47080.0,616.247
1641103200000,47080.0,47188.5,47035.5,47126.0,600.745
1641105000000,47126.0,47226.0,47070.0,47145.0,418.847
1641106800000,47145.0,47205.0,47113.0,47189.0,375.874
1641108600000,47189.0,47274.0,47096.0,47171.0,422.832
1641110400000,47171.0,47211.0,46990.0,47175.0,665.073
1641112200000,47175.0,47211.0,47068.5,47197.5,459.808
1641114000000,47197.5,47552.0,47135.5,47349.0,1300.515
1641115800000,47349.0,47362.5,47247.0,47267.5,548.757
1641117600000,47267.5,47310.0,47250.0,47250.0,312.258
1641119400000,47250.0,47279.0,47105.5,47175.5,400.773
1641121200000,47175.5,47295.0,47152.0,47295.0,375.624
1641123000000,47295.0,47373.0,47200.0,47218.5,540.471
1641124800000,47218.5,47222.0,46990.0,47155.5,1260.909
1641126600000,47155.5,47436.5,47154.0,47260.5,1077.752
1641128400000,47260.5,47261.0,47062.0,47228.0,1396.896
1641130200000,47228.0,47228.0,47067.5,47137.0,563.301
1641132000000,47137.0,47183.5,47002.0,47048.0,796.809
1641133800000,47048.0,47167.5,47047.5,47102.5,394.948
1641135600000,47102.5,47300.0,47070.5,47174.5,767.6
1641137400000,47174.5,47379.0,47115.0,47312.5,836.948
1641139200000,47312.5,47452.0,47261.5,47400.0,1024.541
1641141000000,47400.0,47861.0,47400.0,47758.0,1918.129
1641142800000,47758.0,48000.0,47464.0,47632.0,2429.472
1641144600000,47632.0,47645.0,47319.5,47380.0,1109.907
1641146400000,47380.0,47380.5,46853.0,46940.0,1877.997
1641148200000,46940.0,47058.5,46600.0,47058.0,2301.192
1641150000000,47058.0,47205.5,46839.5,46921.5,1104.555
1641151800000,46921.5,46980.0,46854.5,46906.5,387.023
1641153600000,46906.5,47072.0,46845.0,47032.0,503.138
1641155400000,47032.0,47032.0,46920.0,47025.0,190.893
1641157200000,47025.0,47160.0,46943.5,47046.5,448.626
1641159000000,47046.5,47141.0,47010.0,47014.5,223.483
1641160800000,47014.5,47180.0,47014.5,47141.5,375.193
1641162600000,47141.5,47457.5,47141.5,47250.5,800.21
1641164400000,47250.5,47458.5,47250.0,47380.0,376.974
1641166200000,47380.0,47477.5,47303.0,47305.0,599.324
1641168000000,47305.0,47305.5,47174.0,47178.0,627.96
1641169800000,47178.0,47210.5,47075.5,47083.0,505.769
1641171600000,47083.0,47093.5,46971.0,47047.0,581.013
1641173400000,47047.0,47126.0,47002.0,47115.5,484.526
1641175200000,47115.5,47115.5,46905.0,46990.0,720.828
1641177000000,46990.0,47040.0,46900.0,46994.5,478.03
1641178800000,46994.5,47087.5,46901.0,46979.5,436.847
1641180600000,46979.5,46980.0,46710.0,46821.5,915.665
1641182400000,46821.5,46928.0,46780.0,46850.0,507.902
1641184200000,46850.0,46950.0,46830.0,46850.5,317.041
1641186000000,46850.5,47038.0,46811.5,46990.0,631.127
1641187800000,46990.0,47199.0,46989.5,47064.5,837.846
1641189600000,47064.5,47093.0,46965.5,46974.5,377.805
1641191400000,46974.5,47042.0,46895.0,46920.5,442.115
1641193200000,46920.5,46965.5,46890.0,46965.5,308.426
1641195000000,46965.5,47061.0,46960.0,47050.0,373.879
1641196800000,47050.0,47128.0,46990.0,46999.5,453.986
1641198600000,46999.5,47000.0,46918.5,46975.5,284.814
1641200400000,46975.5,47072.5,46810.0,46830.5,906.098
1641202200000,46830.5,47014.5,46820.0,46999.5,841.773
1641204000000,46999.5,47239.0,46999.0,47060.5,1311.341
1641205800000,47060.5,47223.0,47032.5,47103.0,649.082
1641207600000,47103.0,47360.0,47102.5,47314.5,1120.282
1641209400000,47314.5,47422.0,47243.0,47367.0,664.496
1641211200000,47367.0,47576.5,47251.0,47379.5,1750.339
1641213000000,47379.5,47380.0,47169.0,47183.0,787.803
1641214800000,47183.0,47327.0,47183.0,47302.0,671.109
1641216600000,47302.0,47302.0,47125.0,47148.5,565.863
1641218400000,47148.5,47180.0,46934.5,47104.0,1376.609
1641220200000,47104.0,47265.0,46806.0,46888.5,2257.401
1641222000000,46888.5,47009.0,46811.0,46918.5,1532.714
1641223800000,46918.5,46942.5,46535.0,46697.0,1556.367
1641225600000,46697.0,46780.0,46286.0,46405.0,2936.204
1641227400000,46405.0,46535.0,46344.0,46500.0,1357.912
1641229200000,46500.0,46883.5,46430.0,46716.0,1447.477
1641231000000,46716.0,46804.0,46570.0,46596.0,845.951
1641232800000,46596.0,46726.5,46570.0,46651.5,483.735
1641234600000,46651.5,46652.0,46411.5,46474.0,687.227
1641236400000,46474.0,46653.5,46360.0,46634.0,801.108
1641238200000,46634.0,46655.5,46381.0,46400.5,471.832
1641240000000,46400.5,46413.5,45734.0,45799.5,3385.098
1641241800000,45799.5,45979.5,45700.0,45947.0,1818.009
1641243600000,45947.0,46089.0,45813.0,46066.0,826.655
1641245400000,46066.0,46277.0,45978.5,45980.0,1061.145
1641247200000,45980.0,46331.0,45980.0,46286.5,831.943
1641249000000,46286.5,46458.0,46124.5,46252.0,1212.443
1641250800000,46252.0,46475.5,46210.0,46412.0,695.34
1641252600000,46412.0,46581.0,46395.0,46462.0,682.261
1641254400000,46462.0,46608.0,46250.0,46519.5,1165.654
1641256200000,46519.5,46520.0,46201.0,46277.5,985.185
1641258000000,46277.5,46423.5,46170.5,46369.0,731.393
1641259800000,46369.0,46369.0,46083.0,46116.5,746.924
1641261600000,46116.5,46178.5,45950.0,46172.5,1142.08
1641263400000,46172.5,46296.0,46101.0,46120.0,527.106
1641265200000,46120.0,46216.0,46050.0,46207.5,538.037
