start_time,open,high,low,close,volume
1641002400000,46779.0,46908.0,46726.0,46811.5,1331.939
1641009600000,46811.5,47552.0,46500.0,47183.5,4557.585
1641016800000,47183.5,47335.5,46909.0,47209.5,2746.044
1641024000000,47209.5,47351.5,46930.5,47125.5,2245.015
1641031200000,47125.5,47300.0,46718.5,46768.5,3772.107
1641038400000,46768.5,47200.0,46768.0,47015.5,2509.197
1641045600000,47015.5,47480.0,46856.0,47176.5,3629.48
1641052800000,47176.5,47915.5,47176.0,47720.0,4373.955
1641060000000,47720.0,47796.0,47296.0,47334.0,2617.626
1641067200000,47334.0,47554.5,47240.5,47300.0,1751.187
1641074400000,47300.0,47845.0,47188.5,47719.5,1851.81
1641081600000,47719.5,47719.5,47327.0,47369.5,2191.725
1641088800000,47369.5,47450.5,47280.0,47331.0,1322.413
1641096000000,47331.0,47393.0,46791.5,47080.0,4072.12
1641103200000,47080.0,47274.0,47035.5,47171.0,1818.298
1641110400000,47171.0,47552.0,46990.0,47267.5,2974.153
1641117600000,47267.5,47373.0,47105.5,47218.5,1629.126
1641124800000,47218.5,47436.5,46990.0,47137.0,4298.858
1641132000000,47137.0,47379.0,47002.0,47312.5,2796.305
1641139200000,47312.5,48000.0,47261.5,47380.0,6482.049
1641146400000,47380.0,47380.5,46600.0,46906.5,5670.767
1641153600000,46906.5,47160.0,46845.0,47014.5,1366.14
1641160800000,47014.5,47477.5,47014.5,47305.0,2151.701
1641168000000,47305.0,47305.5,46971.0,47115.5,2199.268
1641175200000,47115.5,47115.5,46710.0,46821.5,2551.37
1641182400000,46821.5,47199.0,46780.0,47064.5,2293.916
1641189600000,47064.5,47093.0,46890.0,47050.0,1502.225
1641196800000,47050.0,47128.0,46810.0,46999.5,2486.671
1641204000000,46999.5,47422.0,46999.0,47367.0,3745.201
1641211200000,47367.0,47576.5,47125.0,47148.5,3775.114
1641218400000,47148.5,47265.0,46535.0,46697.0,6723.091
1641225600000,46697.0,46883.5,46286.0,46596.0,6587.544
1641232800000,46596.0,46726.5,46360.0,46400.5,2443.902
1641240000000,46400.5,46413.5,45700.0,45980.0,7090.907
1641247200000,45980.0,46581.0,45980.0,46462.0,3421.987
1641254400000,46462.0,46608.0,46083.0,46116.5,3629.156
1641261600000,46116.5,46374.0,45950.0,46332.5,2868.962
1641268800000,46332.5,46422.0,46065.5,46179.5,2489.162
1641276000000,46179.5,46537.0,46119.5,46512.0,2653.462
1641283200000,46512.0,46700.0,46301.0,46356.0,3166.718
1641290400000,46356.0,46747.0,46328.5,46706.0,3186.839
1641297600000,46706.0,47200.0,46423.0,46932.5,5171.902
1641304800000,46932.5,47475.0,46815.0,46911.0,7996.181
1641312000000,46911.0,46982.0,46511.0,46556.5,5449.086
1641319200000,46556.5,46696.0,45500.0,46052.0,11885.104
1641326400000,46052.0,46420.5,45978.0,46250.0,2765.917
1641333600000,46250.0,46251.5,45772.5,45870.0,3266.405
1641340800000,45870.0,46325.0,45755.0,46135.0,2895.33
1641348000000,46135.0,46566.5,46135.0,46408.5,2075.505
1641355200000,46408.5,46507.5,46255.0,46322.5,1524.243
1641362400000,46322.5,46485.0,46275.0,46398.0,1639.868
1641369600000,46398.0,46913.5,46283.5,46832.0,4059.177
1641376800000,46832.0,47060.0,46127.0,46287.0,5666.761
1641384000000,46287.0,46466.5,45910.5,46434.5,6863.645
1641391200000,46434.5,46826.5,46125.0,46600.0,9614.722
1641398400000,46600.0,46691.0,46016.0,46016.0,4205.512
1641405600000,46016.0,46540.0,44179.5,44665.5,19795.783
1641412800000,44665.5,44843.5,43200.0,43622.0,16897.865
1641420000000,43622.0,43779.0,42444.0,43437.0,13098.305
1641427200000,43437.0,43795.0,43297.5,43537.0,5138.493
1641434400000,43537.0,43598.5,42807.0,42830.5,5547.924
1641441600000,42830.5,43287.5,42610.0,43040.5,6981.519
1641448800000,43040.5,43242.0,42920.0,43230.0,3547.659
1641456000000,43230.0,43238.0,42179.0,42582.5,6751.087
1641463200000,42582.5,42954.0,42580.0,42858.5,4864.171
1641470400000,42858.5,43196.0,42652.0,43123.0,4983.333
1641477600000,43123.0,43220.0,42680.0,42950.0,5728.471
1641484800000,42950.0,43170.0,42770.0,43004.0,3465.932
1641492000000,43004.0,43494.5,42972.5,43406.5,3032.476
1641499200000,43406.5,43549.0,43060.0,43115.0,2654.78
1641506400000,43115.0,43227.5,43017.0,43110.5,1719.107
1641513600000,43110.5,43137.0,42742.0,43003.5,3389.466
1641520800000,43003.5,43015.0,41500.0,41791.5,12270.954
1641528000000,41791.5,41928.0,40952.5,41837.5,13117.825
1641535200000,41837.5,41838.0,41235.0,41707.5,5879.092
1641542400000,41707.5,43260.0,41620.0,42399.5,9840.607
1641549600000,42399.5,42526.0,42161.0,42259.0,3165.42
1641556800000,42259.0,42774.0,41101.0,41463.0,12615.366
1641564000000,41463.0,42115.0,40517.5,41339.5,13917.441
1641571200000,41339.5,42404.5,40911.0,42009.5,11418.508
1641578400000,42009.5,42009.5,41540.0,41763.5,2698.99
1641585600000,41763.5,42043.0,41590.0,41884.5,2419.832
1641592800000,41884.5,41884.5,41327.0,41554.5,2599.258
1641600000000,41554.5,42242.0,41554.5,41897.0,4002.185
1641607200000,41897.0,41936.5,41660.0,41800.5,2086.207
1641614400000,41800.5,41973.5,41758.0,41953.0,1678.355
1641621600000,41953.0,41972.5,41753.5,41915.5,1690.606
1641628800000,41915.5,42150.0,41875.0,42115.0,3189.836
1641636000000,42115.0,42150.0,41741.0,41943.5,3005.91
1641643200000,41943.5,42100.0,41550.0,41885.0,3949.797
