start_time,open,high,low,close,volume
1640998800000,46657.0,46929.5,46580.0,46779.0,1339.489
1641002400000,46779.0,46908.0,46726.0,46790.5,780.01
1641006000000,46790.5,46871.0,46767.0,46811.5,551.929
1641009600000,46811.5,46843.0,46500.0,46703.0,1247.939
1641013200000,46703.0,47552.0,46666.0,47183.5,3309.646
1641016800000,47183.5,47335.5,46932.5,46955.5,1551.589
1641020400000,46955.5,47324.5,46909.0,47209.5,1194.455
1641024000000,47209.5,47351.5,47083.0,47110.0,1082.744
1641027600000,47110.0,47193.5,46930.5,47125.5,1162.271
1641031200000,47125.5,47300.0,46718.5,46877.0,2589.901
1641034800000,46877.0,46992.0,46768.0,46768.5,1182.206
1641038400000,46768.5,47130.0,46768.0,47092.5,1310.761
1641042000000,47092.5,47200.0,46904.5,47015.5,1198.436
1641045600000,47015.5,47083.0,46856.0,46917.5,1145.98
1641049200000,46917.5,47480.0,46884.0,47176.5,2483.5
1641052800000,47176.5,47499.5,47176.0,47234.0,1877.492
1641056400000,47234.0,47915.5,47224.5,47720.0,2496.463
1641060000000,47720.0,47796.0,47385.0,47551.5,1625.521
1641063600000,47551.5,47596.0,47296.0,47334.0,992.105
1641067200000,47334.0,47554.5,47262.0,47412.0,841.311
1641070800000,47412.0,47532.0,47240.5,47300.0,909.876
1641074400000,47300.0,47469.0,47188.5,47427.5,649.161
1641078000000,47427.5,47845.0,47280.0,47719.5,1202.649
1641081600000,47719.5,47719.5,47393.0,47617.0,1300.831
1641085200000,47617.0,47617.5,47327.0,47369.5,890.894
1641088800000,47369.5,47416.0,47280.0,47381.0,648.478
1641092400000,47381.0,47450.5,47294.5,47331.0,673.935
1641096000000,47331.0,47393.0,46791.5,46911.5,2646.439
1641099600000,46911.5,47080.0,46860.0,47080.0,1425.681
1641103200000,47080.0,47226.0,47035.5,47145.0,1019.592
1641106800000,47145.0,47274.0,47096.0,47171.0,798.706
1641110400000,47171.0,47211.0,46990.0,47197.5,1124.881
1641114000000,47197.5,47552.0,47135.5,47267.5,1849.272
1641117600000,47267.5,47310.0,47105.5,47175.5,713.031
1641121200000,47175.5,47373.0,47152.0,47218.5,916.095
1641124800000,47218.5,47436.5,46990.0,47260.5,2338.661
1641128400000,47260.5,47261.0,47062.0,47137.0,1960.197
1641132000000,47137.0,47183.5,47002.0,47102.5,1191.757
1641135600000,47102.5,47379.0,47070.5,47312.5,1604.548
1641139200000,47312.5,47861.0,47261.5,47758.0,2942.67
1641142800000,47758.0,48000.0,47319.5,47380.0,3539.379
1641146400000,47380.0,47380.5,46600.0,47058.0,4179.189
1641150000000,47058.0,47205.5,46839.5,46906.5,1491.578
1641153600000,46906.5,47072.0,46845.0,47025.0,694.031
1641157200000,47025.0,47160.0,46943.5,47014.5,672.109
1641160800000,47014.5,47457.5,47014.5,47250.5,1175.403
1641164400000,47250.5,47477.5,47250.0,47305.0,976.298
1641168000000,47305.0,47305.5,47075.5,47083.0,1133.729
1641171600000,47083.0,47126.0,46971.0,47115.5,1065.539
1641175200000,47115.5,47115.5,46900.0,46994.5,1198.858
1641178800000,46994.5,47087.5,46710.0,46821.5,1352.512
1641182400000,46821.5,46950.0,46780.0,46850.5,824.943
1641186000000,46850.5,47199.0,46811.5,47064.5,1468.973
1641189600000,47064.5,47093.0,46895.0,46920.5,819.92
1641193200000,46920.5,47061.0,46890.0,47050.0,682.305
1641196800000,47050.0,47128.0,46918.5,46975.5,738.8
1641200400000,46975.5,47072.5,46810.0,46999.5,1747.871
1641204000000,46999.5,47239.0,46999.0,47103.0,1960.423
1641207600000,47103.0,47422.0,47102.5,47367.0,1784.778
1641211200000,47367.0,47576.5,47169.0,47183.0,2538.142
1641214800000,47183.0,47327.0,47125.0,47148.5,1236.972
1641218400000,47148.5,47265.0,46806.0,46888.5,3634.01
1641222000000,46888.5,47009.0,46535.0,46697.0,3089.081
1641225600000,46697.0,46780.0,46286.0,46500.0,4294.116
1641229200000,46500.0,46883.5,46430.0,46596.0,2293.428
1641232800000,46596.0,46726.5,46411.5,46474.0,1170.962
1641236400000,46474.0,46655.5,46360.0,46400.5,1272.94
1641240000000,46400.5,46413.5,45700.0,45947.0,5203.107
1641243600000,45947.0,46277.0,45813.0,45980.0,1887.8
1641247200000,45980.0,46458.0,45980.0,46252.0,2044.386
1641250800000,46252.0,46581.0,46210.0,46462.0,1377.601
1641254400000,46462.0,46608.0,46201.0,46277.5,2150.839
1641258000000,46277.5,46423.5,46083.0,46116.5,1478.317
1641261600000,46116.5,46296.0,45950.0,46120.0,1669.186
1641265200000,46120.0,46374.0,46050.0,46332.5,1199.776
1641268800000,46332.5,46422.0,46069.5,46134.0,1459.706
