start_time,open,high,low,close,volume
1640995200000,46216.93,46527.26,46208.37,46375.42,706.65682
1640997000000,46375.42,46731.39,46360.19,46656.13,796.67413
1640998800000,46656.14,46949.99,46574.06,46815.33,589.50801
1641000600000,46815.34,46884.63,46711.9,46778.14,354.30738
1641002400000,46778.14,46928.94,46769.95,46826.01,273.51826
1641004200000,46826.0,46860.39,46721.96,46811.77,211.65034
1641006000000,46811.77,46916.63,46760.12,46809.15,296.91734
1641007800000,46809.16,46900.0,46809.15,46813.2,265.97237
1641009600000,46813.21,46887.33,46591.23,46708.14,464.38757
1641011400000,46708.13,46842.98,46639.18,46711.05,397.49632
1641013200000,46711.05,47500.0,46673.94,47379.13,793.08192
1641015000000,47379.13,47555.55,47135.3,47192.55,607.6545
1641016800000,47192.56,47324.42,47089.43,47130.36,267.90481
1641018600000,47130.37,47235.49,46940.0,46979.62,346.07295
1641020400000,46979.61,47052.98,46864.84,46959.61,295.2575
1641022200000,46959.61,47255.85,46945.77,47194.73,350.94331
1641024000000,47194.73,47344.69,47075.11,47305.23,315.89791
1641025800000,47305.23,47313.91,47081.74,47124.82,216.54976
1641027600000,47124.82,47215.56,47062.77,47094.74,212.89514
1641029400000,47094.74,47143.99,46933.58,47143.98,328.42977
1641031200000,47143.98,47298.75,46812.99,46874.25,413.90789
1641033000000,46874.26,47081.02,46715.39,46871.08,509.10971
1641034800000,46871.09,47007.73,46862.41,46956.77,335.66439
1641036600000,46956.78,46994.24,46756.77,46758.87,397.22354
1641038400000,46758.87,47012.49,46756.3,46959.51,252.00115
1641040200000,46959.51,47150.48,46941.2,47074.05,330.14894
1641042000000,47074.05,47199.67,46983.01,47022.59,253.97592
1641043800000,47022.59,47095.48,46935.09,47023.24,200.1682
1641045600000,47023.24,47100.0,46950.0,47024.1,217.23112
1641047400000,47024.11,47031.9,46850.18,46926.22,286.43108
1641049200000,46920.01,47030.0,46871.69,47026.82,204.05112
1641051000000,47026.83,47491.14,46996.75,47219.04,1311.90193
1641052800000,47219.04,47527.24,47186.07,47480.45,617.29022
1641054600000,47480.46,47497.19,47253.4,47268.62,432.28897
1641056400000,47268.61,47369.0,47238.81,47330.45,258.18698
1641058200000,47330.45,47954.63,47325.71,47754.48,1062.47879
1641060000000,47754.47,47844.97,47601.01,47637.43,402.62557
1641061800000,47637.43,47658.64,47420.0,47560.55,458.13468
1641063600000,47560.54,47611.84,47338.53,47388.85,355.3347
1641065400000,47388.84,47414.27,47292.72,47329.78,475.3369
1641067200000,47329.79,47452.55,47250.18,47412.36,282.97923
1641069000000,47412.36,47559.03,47347.01,47391.82,434.22869
1641070800000,47391.82,47573.05,47340.0,47366.34,427.72697
1641072600000,47366.33,47491.03,47268.79,47319.67,381.4923
1641074400000,47319.66,47422.39,47222.22,47388.27,270.30519
1641076200000,47388.26,47490.98,47369.75,47440.74,196.17342
1641078000000,47440.74,47488.0,47277.77,47428.83,230.21978
1641079800000,47428.91,47814.0,47370.58,47722.65,516.06976
1641081600000,47722.66,47750.0,47381.12,47544.7,618.91803
1641083400000,47544.7,47700.0,47491.43,47625.3,463.59014
1641085200000,47625.29,47641.83,47412.89,47455.23,259.60645
1641087000000,47455.22,47485.23,47315.38,47377.97,206.14715
1641088800000,47377.97,47449.56,47310.0,47326.09,209.56899
1641090600000,47326.08,47439.21,47275.5,47370.5,242.82346
1641092400000,47370.49,47393.45,47269.47,47382.71,173.52416
1641094200000,47382.71,47467.11,47282.82,47329.47,213.72886
1641096000000,47329.47,47415.73,47289.0,47305.86,208.94177
1641097800000,47305.87,47387.95,46770.23,46910.3,1050.74643
1641099600000,46910.3,47006.4,46832.08,46945.27,374.51018
1641101400000,46945.26,47089.63,46912.95,47081.28,311.69359
1641103200000,47081.28,47200.0,47011.24,47106.8,250.15474
1641105000000,47106.8,47244.0,47059.02,47122.61,278.04723
1641106800000,47122.6,47211.55,47087.62,47181.44,208.03465
1641108600000,47181.45,47300.0,47090.18,47173.45,336.33968
1641110400000,47173.44,47227.28,46970.05,47161.77,306.17434
1641112200000,47161.76,47247.12,47054.02,47222.4,272.11169
1641114000000,47222.4,47499.45,47144.12,47338.85,489.59951
1641115800000,47338.85,47391.32,47250.11,47273.24,302.84417
1641117600000,47273.23,47348.34,47251.01,47272.23,172.5256
1641119400000,47272.23,47322.07,47140.3,47188.89,217.56341
1641121200000,47188.88,47333.33,47159.57,47310.0,181.18378
